dialect,wer,cer,bleu,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
AG,469.2307692307692,459.99999999999994,3.655807449621505,Die Samples wurden in der Vergangenheit von verschiedenen Kommentatoren der verschiedenen Sprachversionen eingesprochen., In der Vergangenheit wurden Temples von verschiedenen Kommentatoren aus verschiedenen Sprachversionen gesprochen. In der Vergangenheit wurden Temples von verschiedenen Kommentatoren aus verschiedenen Sprachversionen gesprochen. In der Vergangenheit wurden Temples von verschiedenen Kommentatoren aus verschiedenen Sprachversionen gesprochen. In der Vergangenheit wurden Temples von verschiedenen Kommentatoren aus verschiedenen Sprachversionen gesprochen. In der Vergangenheit wurden Temples von verschiedenen Kommentatoren aus verschiedenen Sprachversionen gesprochen. In der Vergangenheit wurden Temples von verschiedenen Kommentatoren aus verschiedenen Sprachversionen,3,0,58,"REF:  ***** die samples       wurden *****   ***** *****         *****         ***** *****         *****           *****       in der vergangenheit *****  *****   von verschiedenen kommentatoren ***** *****         *****           *****       ***** der *****         *****  *****   ***** verschiedenen *****         ***** *****         sprachversionen *****       ***** ***** *****         *****  *****   ***** *****         *****         ***** *****         *****           *****       ***** ***** *****         *****  *****   ***** *****         *****         ***** *****         *****           *****       ***** ***** *****         *****  *****   ***** *****         *****         ***** *****         eingesprochen.
HYP:  in    der vergangenheit wurden temples von   verschiedenen kommentatoren aus   verschiedenen sprachversionen gesprochen. in der vergangenheit wurden temples von verschiedenen kommentatoren aus   verschiedenen sprachversionen gesprochen. in    der vergangenheit wurden temples von   verschiedenen kommentatoren aus   verschiedenen sprachversionen gesprochen. in    der   vergangenheit wurden temples von   verschiedenen kommentatoren aus   verschiedenen sprachversionen gesprochen. in    der   vergangenheit wurden temples von   verschiedenen kommentatoren aus   verschiedenen sprachversionen gesprochen. in    der   vergangenheit wurden temples von   verschiedenen kommentatoren aus   verschiedenen sprachversionen
TYPE: I     S   S             C      I       I     I             I             I     I             I               I           C  C   C             I      I       C   C             C             I     I             I               I           I     C   I             I      I       I     C             I             I     I             C               I           I     I     I             I      I       I     I             I             I     I             I               I           I     I     I             I      I       I     I             I             I     I             I               I           I     I     I             I      I       I     I             I             I     I             S"
SO,200.0,77.27272727272727,4.368583925857938,Allerdings sind diese Ergebnisse umstritten.," Man muss aber auch sagen, dass die Ergebnisse sehr umstritten sind.",4,0,6,"REF:  ***** ***** ***** ***** allerdings sind diese ergebnisse ***** *****      umstritten.
HYP:  man   muss  aber  auch  sagen,     dass die   ergebnisse sehr  umstritten sind.
TYPE: I     I     I     I     S          S    S     C          I     I          S"
BE,161.53846153846155,96.55172413793103,3.3582360261774302,Trencavel seiner Besitzungen für verlustig erklärt und begab sich ins Exil nach Aragon.," Es ist erklärt worden, dass er das, was am Trennkabel gehört hat, verloren hat. Dann hat er sich in 6.7 nach Aragon begangen.",11,0,10,"REF:  ***** ***** *****   *****   ***** ***** ***** ***** ***** trencavel  seiner besitzungen für      verlustig erklärt und begab sich ins exil nach *****  aragon.
HYP:  es    ist   erklärt worden, dass  er    das,  was   am    trennkabel gehört hat,        verloren hat.      dann    hat er    sich in  6.7  nach aragon begangen.
TYPE: I     I     I       I       I     I     I     I     I     S          S      S           S        S         S       S   S     C    S   S    C    I      S"
BE,150.0,48.0,6.567274736060395,Sie fehlen im Mittelmeer., Se fala e me tu meir.,4,0,2,"REF:  ***** ***** sie fehlen im mittelmeer.
HYP:  se    fala  e   me     tu meir.
TYPE: I     I     S   S      S  S"
ZH,133.33333333333331,42.857142857142854,14.323145079400492,Landsberg-Velen war promovierter Jurist und Rittergutsbesitzer., Der Landsberg Wählen ist ein promovierter Jurist und ein Rittergutsbesitzer gewesen.,3,0,5,"REF:  ***** *****     *****  landsberg-velen war promovierter jurist und ***** *****              rittergutsbesitzer.
HYP:  der   landsberg wählen ist             ein promovierter jurist und ein   rittergutsbesitzer gewesen.
TYPE: I     I         I      S               S   C            C      C   I     I                  S"
AG,120.0,77.77777777777779,7.267884212102741,Isotope waren damals noch unbekannt., Diese Töpfe sind schon damals unbekannt gewesen.,4,0,2,"REF:  ***** ***** isotope waren damals noch      unbekannt.
HYP:  diese töpfe sind    schon damals unbekannt gewesen.
TYPE: I     I     S       S     C      S         S"
SG,120.0,86.95652173913044,13.134549472120788,"Also, das gab es schon.", Also da hätte es schon gehen können.,4,0,2,"REF:  also, das gab   es ***** ***** schon.
HYP:  also  da  hätte es schon gehen können.
TYPE: S     S   S     C  I     I     S"
BE,115.38461538461537,91.75257731958763,31.20943348400658,"In den Gesprächsrunden wird mit Vertretern aus Kirche, Politik, Wirtschaft und Kultur diskutiert."," In der Gesprächsrunde wird mit Vertretern aus Kirchen, Politik, Wirtschaft und Kultur diskutiert. In der Gesprächsrunde wird mit Vertretern aus Kirchen, Politik und Kultur diskutiert.",3,0,12,"REF:  in den gesprächsrunden wird mit vertretern aus kirche,  politik, wirtschaft ***** *****  *****       ***** ***** *****          ***** ***** *****      ***** *****    *****   und kultur diskutiert.
HYP:  in der gesprächsrunde  wird mit vertretern aus kirchen, politik, wirtschaft und   kultur diskutiert. in    der   gesprächsrunde wird  mit   vertretern aus   kirchen, politik und kultur diskutiert.
TYPE: C  S   S               C    C   C          C   S        C        C          I     I      I           I     I     I              I     I     I          I     I        I       C   C      C"
SO,110.00000000000001,59.01639344262295,6.608973813188645,Warum aber sagen wir das dann nicht in unserer Entschließung?," Warum sagen wir so etwas nicht, wenn wir uns hier so etwas entschliessen?",6,1,4,"REF:  warum aber  sagen wir ***** ***** *****  ***** das dann nicht in unserer entschließung?
HYP:  warum ***** sagen wir so    etwas nicht, wenn  wir uns  hier  so etwas   entschliessen?
TYPE: C     D     C     C   I     I     I      I     S   S    S     S  S       S"
ZG,107.14285714285714,77.45098039215686,37.5022891676693,Trotz dieses Wachstums verlor der Ort seine Selbstständigkeit durch die Eingemeindung nach Den Helder., Durch die Eingemeindung nach Den Helder hat der Ort trotz des Wachstums seine Selbständigkeit verloren.,10,2,3,"REF:  ***** ***** *****         trotz dieses wachstums verlor der ort seine selbstständigkeit durch     die   eingemeindung   nach      den   helder.
HYP:  durch die   eingemeindung nach  den    helder    hat    der ort trotz des               wachstums seine selbständigkeit verloren. ***** *****
TYPE: I     I     I             S     S      S         S      C   C   S     S                 S         S     S               S         D     D"
UR,100.0,50.0,9.652434877402245,Tötet nicht den Boten., Du hättest nicht die Boote.,3,0,1,"REF:  ***** tötet   nicht den boten.
HYP:  du    hättest nicht die boote.
TYPE: I     S       C     S   S"
