dialect,wer,cer,bleu,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
SO,180.0,79.06976744186046,4.9323515694897075,Allerdings sind diese Ergebnisse umstritten.,MAN MUSS ABER AUCH SAGEN DASS DIE ERGEBNISSE SEHR UMSTRITTEN SIND,3,0,6,"REF:  ***** ***** ***** ***** allerdings sind diese ergebnisse ***** umstritten *****
HYP:  man   muss  aber  auch  sagen      dass die   ergebnisse sehr  umstritten sind
TYPE: I     I     I     I     S          S    S     C          I     C          I"
ZH,166.66666666666669,50.81967213114754,3.7477767366779213,Landsberg-Velen war promovierter Jurist und Rittergutsbesitzer.,DER LANDSBERG WÄHLEN IST SCHON PROMOVIERTER JURISHT UM DEN RITTER GUES-PSIZIRXIE,5,0,5,"REF:  ***** *****     *****  landsbergvelen war   promovierter *****   ***** jurist und    rittergutsbesitzer
HYP:  der   landsberg wählen ist            schon promovierter jurisht um    den    ritter guespsizirxie
TYPE: I     I         I      S              S     C            I       I     S      S      S"
BE,160.0,52.38095238095239,5.522397783539471,Zu Bioley-Magnoux gehören einige Einzelhöfe.,ZUR BIORE MANU KIRGIN G EIN ZU HALF,5,0,3,"REF:  ***** ***** ***** zu     bioleymagnoux gehören einige einzelhöfe
HYP:  zur   biore manu  kirgin g             ein     zu     half
TYPE: I     I     I     S      S             S       S      S"
BE,153.84615384615387,84.88372093023256,2.159701133933343,Trencavel seiner Besitzungen für verlustig erklärt und begab sich ins Exil nach Aragon.,ES IST ERKLÄRT WURDE DES TALS WO TRENGA WEL KÖRT HET ER VERLOREN HET ODER HÄTTE SICH SEXI AUCH PARAGON BEGANN,12,0,8,"REF:  ***** ***** *****   ***** ***** ***** ***** *****  trencavel seiner besitzungen für verlustig erklärt und  begab sich ins  exil nach    aragon
HYP:  es    ist   erklärt wurde des   tals  wo    trenga wel       kört   het         er  verloren  het     oder hätte sich sexi auch paragon begann
TYPE: I     I     I       I     I     I     I     I      S         S      S           S   S         S       S    S     C    S    S    S       S"
BE,150.0,14.285714285714285,0.0,Mal Etappenort.,MAU ETAPPE ORT,2,0,1,"REF:  ***** mal    etappenort
HYP:  mau   etappe ort
TYPE: I     S      S"
BE,150.0,84.61538461538461,6.567274736060395,Er unterschrieb einen Dreijahresvertrag.,ER HÄTTE DRÜHJOHRES VER TRAGUNG UND SCHRIEBEN,3,0,3,"REF:  er ***** *****      ***** unterschrieb einen dreijahresvertrag
HYP:  er hätte drühjohres ver   tragung      und   schrieben
TYPE: C  I     I          I     S            S     S"
BE,142.85714285714286,64.28571428571429,3.7477767366779213,Fortan verdiente er seinen Lebensunterhalt als Busfahrer.,OB DENN HAT ER SIE LABENSONG UND HAUT AUS BAUSPARER VERDIENT,6,0,4,"REF:  ***** fortan verdiente er ***** *****     ***** seinen lebensunterhalt als       busfahrer
HYP:  ob    denn   hat       er sie   labensong und   haut   aus             bausparer verdient
TYPE: I     S      S         C  I     I         I     S      S               S         S"
SO,140.0,71.66666666666667,3.377156414337854,Warum aber sagen wir das dann nicht in unserer Entschließung?,WORUM SAGT MIR DAS AB BIS NET ÄHWENN MIDI STOYE ZWAR BIS IN SCHLIESS,8,1,5,"REF:  ***** ***** ***** ***** ***** warum aber sagen  wir  das   dann nicht in unserer  entschließung
HYP:  worum sagt  mir   das   ab    bis   net  ähwenn midi stoye zwar bis   in schliess *****
TYPE: I     I     I     I     I     S     S    S      S    S     S    S     C  S        D"
SO,137.5,59.42028985507246,3.673526562988939,"Zunächst wurden gemietete Geschäftsräume in Berlin-Mitte, Potsdamer Str.",TISCHT SIND QMET DIE GESCHAFTS RÜHMEN IN BERLIN MITTE POTSDAMER STRASSE KMIERTET WURDE,6,0,5,"REF:  *****  ***** zunächst wurden gemietete geschäftsräume in *****  berlinmitte potsdamer *****   *****    str
HYP:  tischt sind  qmet     die    geschafts rühmen         in berlin mitte       potsdamer strasse kmiertet wurde
TYPE: I      I     S        S      S         S              C  I      S           C         I       I        S"
SG,133.33333333333331,26.31578947368421,0.0,Gute Überwachung: Ja!,GOTT ÜBER WACHING JO,3,0,1,"REF:  ***** gute überwachung ja
HYP:  gott  über waching     jo
TYPE: I     S    S           S"
