dialect,wer,cer,bleu,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
BE,700.0,480.23255813953483,0.39506254884293407,Trencavel seiner Besitzungen für verlustig erklärt und begab sich ins Exil nach Aragon.,es sei erklärt werden der Staus wo um drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei Drei,13,0,78,"REF:  ***** ***** *****   *****  ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** ***** trencavel seiner besitzungen für  verlustig erklärt und  begab sich ins  exil nach aragon
HYP:  es    sei   erklärt werden der   staus wo    um    drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei  drei      drei   drei        drei drei      drei    drei drei  drei drei drei drei drei
TYPE: I     I     I       I      I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     I     S         S      S           S    S         S       S    S     S    S    S    S    S"
SO,180.0,79.06976744186046,4.9323515694897075,Allerdings sind diese Ergebnisse umstritten.,man muss aber auch sagen dass die Ergebnisse sehr umstritten sind,3,0,6,"REF:  ***** ***** ***** ***** allerdings sind diese ergebnisse ***** umstritten *****
HYP:  man   muss  aber  auch  sagen      dass die   ergebnisse sehr  umstritten sind
TYPE: I     I     I     I     S          S    S     C          I     C          I"
ZG,166.66666666666669,47.5,0.0,"Staats-Obergymnasium unterrichtete, kennen.",Staatliches Obergymnasium um zu richten,3,0,2,"REF:  *****       *****         staatsobergymnasium unterrichtete kennen
HYP:  staatliches obergymnasium um                  zu            richten
TYPE: I           I             S                   S             S"
AG,150.0,79.36507936507937,5.679677445135579,Dieser Interessengegensatz führte oft zur Erklärung einer Fehde.,Die Interessen des Gegners haben oft zur Erklärungen für ein viel größeres Interesse geführt.,6,0,6,"REF:  ***** *****      dieser interessengegensatz führte oft zur *****       ***** ***** ***** erklärung einer     fehde
HYP:  die   interessen des    gegners             haben  oft zur erklärungen für   ein   viel  größeres  interesse geführt
TYPE: I     I          S      S                   S      C   C   I           I     I     I     S         S         S"
SG,142.85714285714286,52.27272727272727,3.7477767366779213,Moore verliebt sich in Normans Tochter Cindy.,De Moor verleit sich und Narmans und die Töchter sind die,6,0,4,"REF:  ***** moore verliebt sich ***** *****   ***** in  normans tochter cindy
HYP:  de    moor  verleit  sich und   narmans und   die töchter sind    die
TYPE: I     S     S        C    I     I       I     S   S       S       S"
ZG,137.5,47.69230769230769,0.0,Von anderen Seiten werden noch niedrigere Wachstumsraten erwartet.,Für die andere Seite wurde das Notu für den Wachstumsrat erhoben,8,0,3,"REF:  ***** ***** *****  von   anderen seiten werden noch niedrigere wachstumsraten erwartet
HYP:  für   die   andere seite wurde   das    notu   für  den        wachstumsrat   erhoben
TYPE: I     I     I      S     S       S      S      S    S          S              S"
SG,133.33333333333331,52.63157894736842,10.682175159905848,Gute Überwachung: Ja!,"Gut, du überwagst ich Ja",2,0,2,"REF:  ***** ***** gute      überwachung ja
HYP:  gut   du    überwagst ich         ja
TYPE: I     I     S         S           C"
BL,133.33333333333331,71.42857142857143,0.0,Späth Orgelbau erbaut.,Spreiten Sie Orgelbaum ab,3,0,1,"REF:  *****    späth orgelbau  erbaut
HYP:  spreiten sie   orgelbaum ab
TYPE: I        S     S         S"
UR,133.33333333333331,66.66666666666666,0.0,Wohin führt dieser?,Und hier geht der,3,0,1,"REF:  ***** wohin führt dieser
HYP:  und   hier  geht  der
TYPE: I     S     S     S"
BE,125.0,58.333333333333336,8.116697886877475,Sie fehlen im Mittelmeer.,Sie verhalle und mit dem Herr,3,0,2,"REF:  sie *****    ***** fehlen im  mittelmeer
HYP:  sie verhalle und   mit    dem herr
TYPE: C   I        I     S      S   S"
