dialect,wer,cer,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
SO,220.00000000000003,77.27272727272727,Allerdings sind diese Ergebnisse umstritten.,"Man muss aber auch sagen, dass die Ergeibniss sehr umstritten sind.",5,0,6,"REF:  ***  ****  ****  ****  ******  ****  allerdings  sind        diese  ergebnisse  umstritten.
HYP:  man  muss  aber  auch  sagen,  dass  die         ergeibniss  sehr   umstritten  sind.      
TYPE: I    I     I     I     I       I     S           S           S      S           S          "
AG,200.0,47.61904761904761,Lebensjahr vollendet.,Slavens jar ist vollandet.,2,0,2,"REF:  *******  ***  lebensjahr  vollendet.
HYP:  slavens  jar  ist         vollandet.
TYPE: I        I    S           S         "
BE,150.0,13.333333333333334,Mal Etappenort.,Mau etappe Ort.,2,0,1,"REF:  ***  mal     etappenort.
HYP:  mau  etappe  ort.       
TYPE: I    S       S          "
ZG,150.0,30.88235294117647,Dort gehörte er zur ursprünglichen Macintosh-Entwicklungsmannschaft.,Det hett e zu der ursprüngliche Makintosh Entwicklingsmannschaft khürt.,6,0,3,"REF:  ***  ****  *  dort  gehörte  er             zur        ursprünglichen          macintosh-entwicklungsmannschaft.
HYP:  det  hett  e  zu    der      ursprüngliche  makintosh  entwicklingsmannschaft  khürt.                           
TYPE: I    I     I  S     S        S              S          S                       S                                "
SO,150.0,68.85245901639344,Warum aber sagen wir das dann nicht in unserer Entschließung?,"Worum sagen mir da so bis niht, e wenn mir die Story zo bis entschliesst?",10,0,5,"REF:  *****  *****  ***  **  **  warum  aber   sagen  wir   das  dann  nicht  in  unserer  entschließung?
HYP:  worum  sagen  mir  da  so  bis    niht,  e      wenn  mir  die   story  zo  bis      entschliesst? 
TYPE: I      I      I    I   I   S      S      S      S     S    S     S      S   S        S             "
BE,142.85714285714286,71.9298245614035,Fortan verdiente er seinen Lebensunterhalt als Busfahrer.,Aub denn hat Arsi Labensonge und Haut aus Bösforder verdient.,7,0,3,"REF:  ***  ****  ***  fortan  verdiente   er   seinen  lebensunterhalt  als        busfahrer.
HYP:  aub  denn  hat  arsi    labensonge  und  haut    aus              bösforder  verdient. 
TYPE: I    I     I    S       S           S    S       S                S          S         "
ZH,140.0,82.75862068965517,Im Norden liegt die Bandasee.,Der Ban dar sehe isch im Norde.,5,0,2,"REF:  ***  ***  im   norden  liegt  die  bandasee.
HYP:  der  ban  dar  sehe    isch   im   norde.   
TYPE: I    I    S    S       S      S    S        "
LU,140.0,23.333333333333332,Auftraggeber befürchten eine sogenannte „Lock-in-Situation“.,Duftragape befürchtet ein sogenannt die Lockin Situation.,5,0,2,"REF:  **********  **********  auftraggeber  befürchten  eine  sogenannte  „lock-in-situation“.
HYP:  duftragape  befürchtet  ein           sogenannt   die   lockin      situation.          
TYPE: I           I           S             S           S     S           S                   "
BE,138.46153846153845,75.86206896551724,Trencavel seiner Besitzungen für verlustig erklärt und begab sich ins Exil nach Aragon.,"Es ist erklart wurde, das tas wo Trengavel Kurthet ar verlorehet oder hätt er sich i Sexil nach Aragon begat.",11,0,7,"REF:  **  ***  *******  ******  ***  ***  trencavel  seiner     besitzungen  für  verlustig   erklärt  und   begab  sich  ins  exil   nach  ******  aragon.
HYP:  es  ist  erklart  wurde,  das  tas  wo         trengavel  kurthet      ar   verlorehet  oder     hätt  er     sich  i    sexil  nach  aragon  begat. 
TYPE: I   I    I        I       I    I    S          S          S            S    S           S        S     S      C     S    S      C     I       S      "
BE,128.57142857142858,63.63636363636363,Der November wurde dadurch zum elften Monat.,De Das ist nof ember zum Elf te Monat worde.,6,0,3,"REF:  **  der  november  wurde  dadurch  zum  ***  **  elften  monat.
HYP:  de  das  ist       nof    ember    zum  elf  te  monat   worde.
TYPE: I   S    S         S      S        C    I    I   S       S     "
