dialect,wer,cer,bleu,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
AG,469.2307692307692,460.5042016806722,3.8266073649123924,Die Samples wurden in der Vergangenheit von verschiedenen Kommentatoren der verschiedenen Sprachversionen eingesprochen., In der Vergangenheit wurden Temples von verschiedenen Kommentatoren aus verschiedenen Sprachversionen gesprochen. In der Vergangenheit wurden Temples von verschiedenen Kommentatoren aus verschiedenen Sprachversionen gesprochen. In der Vergangenheit wurden Temples von verschiedenen Kommentatoren aus verschiedenen Sprachversionen gesprochen. In der Vergangenheit wurden Temples von verschiedenen Kommentatoren aus verschiedenen Sprachversionen gesprochen. In der Vergangenheit wurden Temples von verschiedenen Kommentatoren aus verschiedenen Sprachversionen gesprochen. In der Vergangenheit wurden Temples von verschiedenen Kommentatoren aus verschiedenen Sprachversionen,3,0,58,"REF:  ***** die samples       wurden *****   ***** *****         *****         ***** *****         *****           *****      in der vergangenheit *****  *****   von verschiedenen kommentatoren ***** *****         *****           *****      ***** der *****         *****  *****   ***** verschiedenen *****         ***** *****         sprachversionen *****      ***** ***** *****         *****  *****   ***** *****         *****         ***** *****         *****           *****      ***** ***** *****         *****  *****   ***** *****         *****         ***** *****         *****           *****      ***** ***** *****         *****  *****   ***** *****         *****         ***** *****         eingesprochen
HYP:  in    der vergangenheit wurden temples von   verschiedenen kommentatoren aus   verschiedenen sprachversionen gesprochen in der vergangenheit wurden temples von verschiedenen kommentatoren aus   verschiedenen sprachversionen gesprochen in    der vergangenheit wurden temples von   verschiedenen kommentatoren aus   verschiedenen sprachversionen gesprochen in    der   vergangenheit wurden temples von   verschiedenen kommentatoren aus   verschiedenen sprachversionen gesprochen in    der   vergangenheit wurden temples von   verschiedenen kommentatoren aus   verschiedenen sprachversionen gesprochen in    der   vergangenheit wurden temples von   verschiedenen kommentatoren aus   verschiedenen sprachversionen
TYPE: I     S   S             C      I       I     I             I             I     I             I               I          C  C   C             I      I       C   C             C             I     I             I               I          I     C   I             I      I       I     C             I             I     I             C               I          I     I     I             I      I       I     I             I             I     I             I               I          I     I     I             I      I       I     I             I             I     I             I               I          I     I     I             I      I       I     I             I             I     I             S"
SO,180.0,79.06976744186046,4.9323515694897075,Allerdings sind diese Ergebnisse umstritten.," Man muss aber auch sagen, dass die Ergebnisse sehr umstritten sind.",3,0,6,"REF:  ***** ***** ***** ***** allerdings sind diese ergebnisse ***** umstritten *****
HYP:  man   muss  aber  auch  sagen      dass die   ergebnisse sehr  umstritten sind
TYPE: I     I     I     I     S          S    S     C          I     C          I"
BE,153.84615384615387,94.18604651162791,3.9164496650022476,Trencavel seiner Besitzungen für verlustig erklärt und begab sich ins Exil nach Aragon.," Es ist erklärt worden, dass er das, was am Trennkabel gehört hat, verloren hat. Dann hat er sich in 6.7 nach Aragon begangen.",10,0,10,"REF:  ***** ***** *****   *****  ***** ***** ***** ***** ***** trencavel  seiner besitzungen für      verlustig erklärt und begab sich ins exil nach aragon *****
HYP:  es    ist   erklärt worden dass  er    das   was   am    trennkabel gehört hat         verloren hat       dann    hat er    sich in  67   nach aragon begangen
TYPE: I     I     I       I      I     I     I     I     I     S          S      S           S        S         S       S   S     C    S   S    C    C      I"
BE,150.0,50.0,0.0,Sie fehlen im Mittelmeer., Se fala e me tu meir.,4,0,2,"REF:  ***** ***** sie fehlen im mittelmeer
HYP:  se    fala  e   me     tu meir
TYPE: I     I     S   S      S  S"
AG,120.0,80.0,7.809849842300637,Isotope waren damals noch unbekannt., Diese Töpfe sind schon damals unbekannt gewesen.,4,0,2,"REF:  ***** ***** isotope waren damals noch      unbekannt
HYP:  diese töpfe sind    schon damals unbekannt gewesen
TYPE: I     I     S       S     C      S         S"
ZH,116.66666666666667,44.26229508196721,14.991106946711685,Landsberg-Velen war promovierter Jurist und Rittergutsbesitzer., Der Landsberg Wählen ist ein promovierter Jurist und ein Rittergutsbesitzer gewesen.,2,0,5,"REF:  ***** *****     *****  landsbergvelen war promovierter jurist und ***** rittergutsbesitzer *****
HYP:  der   landsberg wählen ist            ein promovierter jurist und ein   rittergutsbesitzer gewesen
TYPE: I     I         I      S              S   C            C      C   I     C                  I"
BE,115.38461538461537,92.5531914893617,24.250566202074662,"In den Gesprächsrunden wird mit Vertretern aus Kirche, Politik, Wirtschaft und Kultur diskutiert."," In der Gesprächsrunde wird mit Vertretern aus Kirchen, Politik, Wirtschaft und Kultur diskutiert. In der Gesprächsrunde wird mit Vertretern aus Kirchen, Politik und Kultur diskutiert.",3,0,12,"REF:  in den gesprächsrunden wird mit vertretern aus kirche  politik wirtschaft ***** *****  *****      ***** ***** *****          ***** ***** *****      ***** *****   *****   und kultur diskutiert
HYP:  in der gesprächsrunde  wird mit vertretern aus kirchen politik wirtschaft und   kultur diskutiert in    der   gesprächsrunde wird  mit   vertretern aus   kirchen politik und kultur diskutiert
TYPE: C  S   S               C    C   C          C   S       C       C          I     I      I          I     I     I              I     I     I          I     I       I       C   C      C"
ZG,107.14285714285714,78.21782178217822,39.431683758476304,Trotz dieses Wachstums verlor der Ort seine Selbstständigkeit durch die Eingemeindung nach Den Helder., Durch die Eingemeindung nach Den Helder hat der Ort trotz des Wachstums seine Selbständigkeit verloren.,10,2,3,"REF:  ***** ***** *****         trotz dieses wachstums verlor der ort seine selbstständigkeit durch     die   eingemeindung   nach     den   helder
HYP:  durch die   eingemeindung nach  den    helder    hat    der ort trotz des               wachstums seine selbständigkeit verloren ***** *****
TYPE: I     I     I             S     S      S         S      C   C   S     S                 S         S     S               S        D     D"
UR,100.0,52.38095238095239,10.682175159905848,Tötet nicht den Boten., Du hättest nicht die Boote.,3,0,1,"REF:  ***** tötet   nicht den boten
HYP:  du    hättest nicht die boote
TYPE: I     S       C     S   S"
BL,100.0,33.33333333333333,0.0,Späth Orgelbau erbaut., Spätorgel abaut.,2,1,0,"REF:  späth     orgelbau erbaut
HYP:  spätorgel abaut    *****
TYPE: S         S        D"
