dialect,wer,cer,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
SO,200.0,77.27272727272727,Allerdings sind diese Ergebnisse umstritten.," Man muss aber auch sagen, dass die Ergebnisse sehr umstritten sind.",4,0,6,"REF:  ***  ****  ****  ****  allerdings  sind  diese  ergebnisse  ****  **********  umstritten.
HYP:  man  muss  aber  auch  sagen,      dass  die    ergebnisse  sehr  umstritten  sind.      
TYPE: I    I     I     I     S           S     S      C           I     I           S          "
BE,150.0,20.0,Mal Etappenort., MAU Etappe Ort,2,0,1,"REF:  ***  mal     etappenort.
HYP:  mau  etappe  ort        
TYPE: I    S       S          "
BE,146.15384615384613,89.65517241379311,Trencavel seiner Besitzungen für verlustig erklärt und begab sich ins Exil nach Aragon.," Es wurde erklärt, dass das, was am Trencavel gehört hat, er verloren hat und dann hat er sich in 6-7 nach Aragon begeben.",9,0,10,"REF:  **  *****  ********  ****  ****  ***  **  trencavel  seiner  besitzungen  für  verlustig  erklärt  und  ****  ***  begab  sich  ins  exil  nach  ******  aragon. 
HYP:  es  wurde  erklärt,  dass  das,  was  am  trencavel  gehört  hat,         er   verloren   hat      und  dann  hat  er     sich  in   6-7   nach  aragon  begeben.
TYPE: I   I      I         I     I     I    I   C          S       S            S    S          S        C    I     I    S      C     S    S     C     I       S       "
ZH,133.33333333333331,38.095238095238095,Landsberg-Velen war promovierter Jurist und Rittergutsbesitzer., Der Landsberg Velen ist ein promovierter Jurist und ein Rittergutsbesitzer gewesen.,3,0,5,"REF:  ***  *********  *****  landsberg-velen  war  promovierter  jurist  und  ***  ******************  rittergutsbesitzer.
HYP:  der  landsberg  velen  ist              ein  promovierter  jurist  und  ein  rittergutsbesitzer  gewesen.           
TYPE: I    I          I      S                S    C             C       C    I    I                   S                  "
AG,120.0,80.55555555555556,Isotope waren damals noch unbekannt., Diese Truppe sind schon damals unbekannt gewesen.,4,0,2,"REF:  *****  ******  isotope  waren  damals  noch       unbekannt.
HYP:  diese  truppe  sind     schon  damals  unbekannt  gewesen.  
TYPE: I      I       S        S      C       S          S         "
SO,110.00000000000001,57.377049180327866,Warum aber sagen wir das dann nicht in unserer Entschließung?," Warum sagen wir denn so etwas nicht, wenn wir uns so etwas entschliessen?",6,1,4,"REF:  warum  aber  sagen  wir  ****  **  *****  ******  das   dann  nicht  in  unserer  entschließung?
HYP:  warum  ****  sagen  wir  denn  so  etwas  nicht,  wenn  wir   uns    so  etwas    entschliessen?
TYPE: C      D     C      C    I     I   I      I       S     S     S      S   S        S             "
BE,100.0,66.66666666666666,Linssen wuchs in Wachtendonk auf., Die Lisse ist in Wartendonk aufgewachsen.,4,0,1,"REF:  ***  linssen  wuchs  in  wachtendonk  auf.         
HYP:  die  lisse    ist    in  wartendonk   aufgewachsen.
TYPE: I    S        S      C   S            S            "
UR,100.0,45.45454545454545,Tötet nicht den Boten., Du hättest nicht geboten.,2,1,1,"REF:  **  tötet    nicht  den       boten.
HYP:  du  hättest  nicht  geboten.  ******
TYPE: I   S        C      S         D     "
ZG,100.0,16.27906976744186,"Staats-Obergymnasium unterrichtete, kennen.", Das Staatsobergymnasium unterrichtet kennen.,2,0,1,"REF:  ***  staats-obergymnasium  unterrichtete,  kennen.
HYP:  das  staatsobergymnasium   unterrichtet    kennen.
TYPE: I    S                     S               C      "
ZH,100.0,68.96551724137932,Im Norden liegt die Bandasee., Der Bandasee ist im Norden.,5,0,0,"REF:  im   norden    liegt  die  bandasee.
HYP:  der  bandasee  ist    im   norden.  
TYPE: S    S         S      S    S        "
BE,100.0,50.57471264367817,"Nina Jäckle verfasste bislang Hörspiele, Theaterstücke, Drehbücher und vor allem Prosa."," Nina Jäckle hat bis jetzt vor allem Hörspiel, Theaterstücke und Reihbücher, aber vor allem Prosa angeschrieben.",6,0,5,"REF:  nina  jäckle  ***  ***  verfasste  bislang  hörspiele,  theaterstücke,  drehbücher     und  ***********  ****  vor  allem  *****  prosa.        
HYP:  nina  jäckle  hat  bis  jetzt      vor      allem       hörspiel,       theaterstücke  und  reihbücher,  aber  vor  allem  prosa  angeschrieben.
TYPE: C     C       I    I    S          S        S           S               S              C    I            I     C    C      I      S             "
BE,100.0,48.0,Es liegt im flachen Land., zurück dem frachen Rand.,4,1,0,"REF:  es      liegt  im       flachen  land.
HYP:  zurück  dem    frachen  rand.    *****
TYPE: S       S      S        S        D    "
BE,100.0,74.19354838709677,"Mensch, schön habt ihr es hier!", Kopf hält dir schön hier.,5,1,0,"REF:  mensch,  schön  habt  ihr    es     hier!
HYP:  kopf     hält   dir   schön  hier.  *****
TYPE: S        S      S     S      S      D    "
ZG,100.0,50.877192982456144,Orson Welles verbrachte seine Flitterwochen im Algonquin., Der Orson Welles hat seine Flitterwoche in Alcorn Queen verbracht.,4,0,3,"REF:  ***  orson  welles  verbrachte  seine  ************  **  flitterwochen  im     algonquin.
HYP:  der  orson  welles  hat         seine  flitterwoche  in  alcorn         queen  verbracht.
TYPE: I    C      C       S           C      I             I   S              S      S         "
ZG,100.0,76.47058823529412,Trotz dieses Wachstums verlor der Ort seine Selbstständigkeit durch die Eingemeindung nach Den Helder., Durch die Eingemeindung nach den Heldern hat der Ort trotz Wachstum seine Selbstständigkeit verloren.,14,0,0,"REF:  trotz  dieses  wachstums      verlor  der  ort      seine  selbstständigkeit  durch  die    eingemeindung  nach   den                helder.  
HYP:  durch  die     eingemeindung  nach    den  heldern  hat    der                ort    trotz  wachstum       seine  selbstständigkeit  verloren.
TYPE: S      S       S              S       S    S        S      S                  S      S      S              S      S                  S        "
LU,100.0,50.0,In Kriegszeiten wurde das Schloss stärker befestigt.," Ich habe hier gesehen, dass das Schloss stärker befestigt wurde.",4,0,3,"REF:  ***  ****  in    kriegszeiten  wurde  das  schloss  stärker  *********  befestigt.
HYP:  ich  habe  hier  gesehen,      dass   das  schloss  stärker  befestigt  wurde.    
TYPE: I    I     S     S             S      C    C        C        I          S         "
SG,100.0,52.17391304347826,"Also, das gab es schon.", Also da hätt's schon ge...,5,0,0,"REF:  also,  das  gab     es     schon.
HYP:  also   da   hätt's  schon  ge... 
TYPE: S      S    S       S      S     "
BE,100.0,82.5,Er unterschrieb einen Dreijahresvertrag., Er hat den 3-Jahres-Vertrag unterschrieben.,3,0,1,"REF:  er  ***  unterschrieb  einen             dreijahresvertrag.
HYP:  er  hat  den           3-jahres-vertrag  unterschrieben.   
TYPE: C   I    S             S                 S                 "
ZG,100.0,28.125,Umwege erhöhen die Ortskenntnis., Der Umweg erhöht die Ortskenntnisse.,3,0,1,"REF:  ***  umwege  erhöhen  die  ortskenntnis.  
HYP:  der  umweg   erhöht   die  ortskenntnisse.
TYPE: I    S       S        C    S              "
AG,100.0,38.095238095238095,Lebensjahr vollendet., Das Lebensjahr ist vollendet.,0,0,2,"REF:  ***  lebensjahr  ***  vollendet.
HYP:  das  lebensjahr  ist  vollendet.
TYPE: I    C           I    C         "
UR,100.0,31.57894736842105,Wohin führt dieser?, Woher fährt der?,3,0,0,"REF:  wohin  führt  dieser?
HYP:  woher  fährt  der?   
TYPE: S      S      S      "
ZG,100.0,23.52941176470588,Dort gehörte er zur ursprünglichen Macintosh-Entwicklungsmannschaft., Dort hat er zu der ursprünglichen Macintosh Entwicklungsmannschaft gehört.,3,0,3,"REF:  dort  gehörte  er  **  zur  ursprünglichen  *********  **********************  macintosh-entwicklungsmannschaft.
HYP:  dort  hat      er  zu  der  ursprünglichen  macintosh  entwicklungsmannschaft  gehört.                          
TYPE: C     S        C   I   S    C               I          I                       S                                "
