dialect,wer,cer,bleu,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
SO,180.0,79.06976744186046,4.9323515694897075,Allerdings sind diese Ergebnisse umstritten.," Man muss aber auch sagen, dass die Ergebnisse sehr umstritten sind.",3,0,6,"REF:  ***** ***** ***** ***** allerdings sind diese ergebnisse ***** umstritten *****
HYP:  man   muss  aber  auch  sagen      dass die   ergebnisse sehr  umstritten sind
TYPE: I     I     I     I     S          S    S     C          I     C          I"
BE,150.0,84.61538461538461,6.567274736060395,Er unterschrieb einen Dreijahresvertrag., Er hat drei Jahre lang einen Vertrag unterschrieben.,2,0,4,"REF:  er ***** ***** ***** unterschrieb einen *****   dreijahresvertrag
HYP:  er hat   drei  jahre lang         einen vertrag unterschrieben
TYPE: C  I     I     I     S            C     I       S"
BE,130.76923076923077,81.3953488372093,4.567211833282236,Trencavel seiner Besitzungen für verlustig erklärt und begab sich ins Exil nach Aragon.," Es wurde erklärt, dass das, was Trencabel hörte, er verloren hatte und dann hat er sich in Säxim nach Aragon begeben.",9,0,8,"REF:  ***** ***** *****   ***** ***** trencavel seiner    besitzungen für verlustig erklärt und ***** ***** begab sich ins exil  nach aragon *****
HYP:  es    wurde erklärt dass  das   was       trencabel hörte       er  verloren  hatte   und dann  hat   er    sich in  säxim nach aragon begeben
TYPE: I     I     I       I     I     S         S         S           S   S         S       C   I     I     S     C    S   S     C    C      I"
BL,122.22222222222223,45.588235294117645,6.608973813188645,Wie anderswo waren auch hier zunächst nur Männer teilnahmeberechtigt.," Wie alle anderen, die hier waren, waren sie zunächst nur, wenn der Teilnahme berechtigt war.",5,0,6,"REF:  wie ***** *****   ***** anderswo waren auch  hier zunächst nur ***** ***** *****     männer     teilnahmeberechtigt
HYP:  wie alle  anderen die   hier     waren waren sie  zunächst nur wenn  der   teilnahme berechtigt war
TYPE: C   I     I       I     S        C     S     S    C        C   I     I     I         S          S"
ZH,116.66666666666667,44.26229508196721,14.991106946711685,Landsberg-Velen war promovierter Jurist und Rittergutsbesitzer., Der Landsberg Wählen ist ein promovierter Jurist und ein Rittergutsbesitzer gewesen.,2,0,5,"REF:  ***** *****     *****  landsbergvelen war promovierter jurist und ***** rittergutsbesitzer *****
HYP:  der   landsberg wählen ist            ein promovierter jurist und ein   rittergutsbesitzer gewesen
TYPE: I     I         I      S              S   C            C      C   I     C                  I"
BE,110.00000000000001,32.30769230769231,6.285596338261262,"Der Ort ist Sitz des Bistums Ventimiglia-Sanremo, Seebad und Kurort."," Da hat ich Sitz vom Bistum, wenn die Milia san Remo, Seebad und Churort.",7,0,4,"REF:  der ort ist sitz ***** *****  ***** ***** des   bistums ventimigliasanremo seebad und kurort
HYP:  da  hat ich sitz vom   bistum wenn  die   milia san     remo               seebad und churort
TYPE: S   S   S   C    I     I      I     I     S     S       S                  C      C   S"
ZG,107.14285714285714,78.21782178217822,33.15796151992084,Trotz dieses Wachstums verlor der Ort seine Selbstständigkeit durch die Eingemeindung nach Den Helder., Durch die Eingemeindung nach den Helden hat der Ort trotz des Wachstums seine Selbstständigkeit verloren.,10,2,3,"REF:  ***** ***** *****         trotz dieses wachstums verlor der ort seine selbstständigkeit durch     die   eingemeindung     nach     den   helder
HYP:  durch die   eingemeindung nach  den    helden    hat    der ort trotz des               wachstums seine selbstständigkeit verloren ***** *****
TYPE: I     I     I             S     S      S         S      C   C   S     S                 S         S     S                 S        D     D"
ZG,100.0,7.5,15.97357760615681,"Staats-Obergymnasium unterrichtete, kennen.", Staatsopergymnasium unterrichtet – Kennen,2,0,1,"REF:  *****               staatsobergymnasium unterrichtete kennen
HYP:  staatsopergymnasium unterrichtet        –             kennen
TYPE: I                   S                   S             C"
BL,100.0,23.809523809523807,0.0,Späth Orgelbau erbaut., Spätogelbau abbaut.,2,1,0,"REF:  späth       orgelbau erbaut
HYP:  spätogelbau abbaut   *****
TYPE: S           S        D"
BE,100.0,7.142857142857142,0.0,Mal Etappenort., Maletappenort.,1,1,0,"REF:  mal           etappenort
HYP:  maletappenort *****
TYPE: S             D"
ZH,100.0,71.42857142857143,23.643540225079384,Im Norden liegt die Bandasee., Der Bandasee ist im Norden.,5,0,0,"REF:  im  norden   liegt die bandasee
HYP:  der bandasee ist   im  norden
TYPE: S   S        S     S   S"
BE,100.0,46.42857142857143,6.754312828675707,"Nina Jäckle verfasste bislang Hörspiele, Theaterstücke, Drehbücher und vor allem Prosa."," Nina Jäckli hat bis jetzt v.a. Hörspiele, Theaterstücke und Rehbücher, aber v.a. Prose angeschrieben.",8,0,3,"REF:  nina *****  ***** jäckle verfasste bislang hörspiele theaterstücke ***** drehbücher und  vor allem prosa
HYP:  nina jäckli hat   bis    jetzt     va      hörspiele theaterstücke und   rehbücher  aber va  prose angeschrieben
TYPE: C    I      I     S      S         S       C         C             I     S          S    S   S     S"
BE,100.0,47.61904761904761,7.809849842300637,Zu Bioley-Magnoux gehören einige Einzelhöfe., Zu Pia und Manu können einige einzuhelfen.,3,0,2,"REF:  zu ***** ***** bioleymagnoux gehören einige einzelhöfe
HYP:  zu pia   und   manu          können  einige einzuhelfen
TYPE: C  I     I     S             S       C      S"
LU,100.0,74.19354838709677,0.0,Heute reicht das nicht mehr aus., Hüt Langetersnumme,2,4,0,"REF:  heute reicht         das   nicht mehr  aus
HYP:  hüt   langetersnumme ***** ***** ***** *****
TYPE: S     S              D     D     D     D"
AG,100.0,40.0,18.99589214128981,Lebensjahr vollendet., Das Lebensjahr ist vollendet.,0,0,2,"REF:  ***** lebensjahr ***** vollendet
HYP:  das   lebensjahr ist   vollendet
TYPE: I     C          I     C"
UR,100.0,33.33333333333333,15.97357760615681,Wohin führt dieser?, Wo hier führt der?,2,0,1,"REF:  ***** wohin führt dieser
HYP:  wo    hier  führt der
TYPE: I     S     C     S"
BE,90.9090909090909,71.71717171717171,43.66835442847811,"Außerdem studierte er an der Wiener Universität Philosophie, Kunstgeschichte und Literaturgeschichte."," Ausserdem hat er Philosophie, Kunstgeschichte und Literaturgeschichte an der Wiener Universität studiert.",3,3,4,"REF:  außerdem  studierte er *****       *****           ***** *****               an der wiener universität philosophie kunstgeschichte und   literaturgeschichte
HYP:  ausserdem hat       er philosophie kunstgeschichte und   literaturgeschichte an der wiener universität studiert    *****           ***** *****
TYPE: S         S         C  I           I               I     I                   C  C   C      C           S           D               D     D"
ZH,90.0,37.096774193548384,3.929752628321626,In den letzten Jahren gewinnt auch der Fußball an Begeisterung., Die letzte Jagdwindel der Fußballerbegeisterung.,4,5,0,"REF:  in  den    letzten    jahren gewinnt auch  der fußball               an    begeisterung
HYP:  die letzte jagdwindel *****  *****   ***** der fußballerbegeisterung ***** *****
TYPE: S   S      S          D      D       D     C   S                     D     D"
SO,90.0,53.333333333333336,8.054496384843702,Warum aber sagen wir das dann nicht in unserer Entschließung?," Warum sagen wir so etwas nicht, wenn wir uns zu etwas entschliessen?",5,1,3,"REF:  warum aber  sagen wir das dann  nicht ***** ***** ***** in unserer entschließung
HYP:  warum ***** sagen wir so  etwas nicht wenn  wir   uns   zu etwas   entschliessen
TYPE: C     D     C     C   S   S     C     I     I     I     S  S       S"
BE,88.88888888888889,50.90909090909091,13.650604313545333,Der Rat hat die Reden Muammar Gadaffis nicht besprochen., Die Rede von Muammar Gaddafi hat der Rat nicht besprochen.,7,0,1,"REF:  ***** der  rat hat     die     reden muammar gadaffis nicht besprochen
HYP:  die   rede von muammar gaddafi hat   der     rat      nicht besprochen
TYPE: I     S    S   S       S       S     S       S        C     C"
BE,85.71428571428571,44.642857142857146,10.552670315936318,Fortan verdiente er seinen Lebensunterhalt als Busfahrer., Ab dann hat er seine Lebensungerhaut als Busfahrer verdient.,4,0,2,"REF:  ***** fortan verdiente er seinen lebensunterhalt als busfahrer *****
HYP:  ab    dann   hat       er seine  lebensungerhaut als busfahrer verdient
TYPE: I     S      S         C  S      S               C   C         I"
SG,83.33333333333334,50.602409638554214,39.832871551569504,"Dies war nicht der Fall für die Kontrollgruppen, die keine Fehlinformation erhielten."," Das war für die Kontrollgruppen, die keine Fehlinformationen erhalten haben, nicht der Fall.",3,3,4,"REF:  dies war nicht der   fall  für die kontrollgruppen die keine *****             *****    ***** ***** fehlinformation erhielten
HYP:  das  war ***** ***** ***** für die kontrollgruppen die keine fehlinformationen erhalten haben nicht der             fall
TYPE: S    C   D     D     D     C   C   C               C   C     I                 I        I     I     S               S"
BE,83.33333333333334,72.41379310344827,10.400597689005304,"Mensch, schön habt ihr es hier!", Kopf hätte ich schön hier.,4,1,0,"REF:  mensch schön habt ihr   es    hier
HYP:  kopf   hätte ich  schön ***** hier
TYPE: S      S     S    S     D     C"
BE,80.0,53.125,10.682175159905848,Linssen wuchs in Wachtendonk auf., Lissen ist in Wartendonk aufgewachsen.,4,0,0,"REF:  linssen wuchs in wachtendonk auf
HYP:  lissen  ist   in wartendonk  aufgewachsen
TYPE: S       S     C  S           S"
SG,80.0,47.61904761904761,10.682175159905848,"Also, das gab es schon.", Also da hätt's scho geh.,4,0,0,"REF:  also das gab   es   schon
HYP:  also da  hätts scho geh
TYPE: C    S   S     S    S"
AG,80.0,11.538461538461538,14.535768424205482,Diese Region wird „Kalaharisand-Feuchtgebiet“ genannt., Die Region wird Kalahari Sand Feuchtgebiet genannt.,2,0,2,"REF:  diese region wird *****    ***** „kalaharisandfeuchtgebiet“ genannt
HYP:  die   region wird kalahari sand  feuchtgebiet               genannt
TYPE: S     C      C    I        I     S                          C"
