dialect,wer,cer,bleu,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
SO,180.0,79.06976744186046,4.9323515694897075,Allerdings sind diese Ergebnisse umstritten.," Man muss aber auch sagen, dass die Ergebnisse sehr umstritten sind.",3,0,6,"REF:  ***** ***** ***** ***** allerdings sind diese ergebnisse ***** umstritten *****
HYP:  man   muss  aber  auch  sagen      dass die   ergebnisse sehr  umstritten sind
TYPE: I     I     I     I     S          S    S     C          I     C          I"
BE,150.0,14.285714285714285,0.0,Mal Etappenort., MAU Etappe Ort,2,0,1,"REF:  ***** mal    etappenort
HYP:  mau   etappe ort
TYPE: I     S      S"
BE,138.46153846153845,87.20930232558139,4.334264033674369,Trencavel seiner Besitzungen für verlustig erklärt und begab sich ins Exil nach Aragon.," Es wurde erklärt, dass das, was am Trencavel gehört hat, er verloren hat und dann hat er sich in 6-7 nach Aragon begeben.",8,0,10,"REF:  ***** ***** *****   ***** ***** ***** ***** trencavel seiner besitzungen für verlustig erklärt und ***** ***** begab sich ins exil nach aragon *****
HYP:  es    wurde erklärt dass  das   was   am    trencavel gehört hat         er  verloren  hat     und dann  hat   er    sich in  67   nach aragon begeben
TYPE: I     I     I       I     I     I     I     C         S      S           S   S         S       C   I     I     S     C    S   S    C    C      I"
AG,120.0,82.85714285714286,7.809849842300637,Isotope waren damals noch unbekannt., Diese Truppe sind schon damals unbekannt gewesen.,4,0,2,"REF:  ***** *****  isotope waren damals noch      unbekannt
HYP:  diese truppe sind    schon damals unbekannt gewesen
TYPE: I     I      S       S     C      S         S"
ZH,116.66666666666667,39.34426229508197,14.991106946711685,Landsberg-Velen war promovierter Jurist und Rittergutsbesitzer., Der Landsberg Velen ist ein promovierter Jurist und ein Rittergutsbesitzer gewesen.,2,0,5,"REF:  ***** *****     ***** landsbergvelen war promovierter jurist und ***** rittergutsbesitzer *****
HYP:  der   landsberg velen ist            ein promovierter jurist und ein   rittergutsbesitzer gewesen
TYPE: I     I         I     S              S   C            C      C   I     C                  I"
BE,100.0,68.75,8.116697886877475,Linssen wuchs in Wachtendonk auf., Die Lisse ist in Wartendonk aufgewachsen.,4,0,1,"REF:  ***** linssen wuchs in wachtendonk auf
HYP:  die   lisse   ist   in wartendonk  aufgewachsen
TYPE: I     S       S     C  S           S"
UR,100.0,47.61904761904761,15.97357760615681,Tötet nicht den Boten., Du hättest nicht geboten.,2,1,1,"REF:  ***** tötet   nicht den     boten
HYP:  du    hättest nicht geboten *****
TYPE: I     S       C     S       D"
ZH,100.0,71.42857142857143,23.643540225079384,Im Norden liegt die Bandasee., Der Bandasee ist im Norden.,5,0,0,"REF:  im  norden   liegt die bandasee
HYP:  der bandasee ist   im  norden
TYPE: S   S        S     S   S"
BE,100.0,50.0,0.0,Es liegt im flachen Land., zurück dem frachen Rand.,4,1,0,"REF:  es     liegt im      flachen land
HYP:  zurück dem   frachen rand    *****
TYPE: S      S     S       S       D"
ZG,100.0,51.78571428571429,9.287528999566801,Orson Welles verbrachte seine Flitterwochen im Algonquin., Der Orson Welles hat seine Flitterwoche in Alcorn Queen verbracht.,4,0,3,"REF:  ***** orson welles verbrachte seine *****        ***** flitterwochen im    algonquin
HYP:  der   orson welles hat        seine flitterwoche in    alcorn        queen verbracht
TYPE: I     C     C      S          C     I            I     S             S     S"
ZG,100.0,77.22772277227723,34.98761149110957,Trotz dieses Wachstums verlor der Ort seine Selbstständigkeit durch die Eingemeindung nach Den Helder., Durch die Eingemeindung nach den Heldern hat der Ort trotz Wachstum seine Selbstständigkeit verloren.,14,0,0,"REF:  trotz dieses wachstums     verlor der ort     seine selbstständigkeit durch die   eingemeindung nach  den               helder
HYP:  durch die    eingemeindung nach   den heldern hat   der               ort   trotz wachstum      seine selbstständigkeit verloren
TYPE: S     S      S             S      S   S       S     S                 S     S     S             S     S                 S"
BE,100.0,79.48717948717949,10.682175159905848,Er unterschrieb einen Dreijahresvertrag., Er hat den 3-Jahres-Vertrag unterschrieben.,3,0,1,"REF:  er ***** unterschrieb einen          dreijahresvertrag
HYP:  er hat   den          3jahresvertrag unterschrieben
TYPE: C  I     S            S              S"
ZG,100.0,29.03225806451613,10.682175159905848,Umwege erhöhen die Ortskenntnis., Der Umweg erhöht die Ortskenntnisse.,3,0,1,"REF:  ***** umwege erhöhen die ortskenntnis
HYP:  der   umweg  erhöht  die ortskenntnisse
TYPE: I     S      S       C   S"
AG,100.0,40.0,18.99589214128981,Lebensjahr vollendet., Das Lebensjahr ist vollendet.,0,0,2,"REF:  ***** lebensjahr ***** vollendet
HYP:  das   lebensjahr ist   vollendet
TYPE: I     C          I     C"
UR,100.0,33.33333333333333,0.0,Wohin führt dieser?, Woher fährt der?,3,0,0,"REF:  wohin führt dieser
HYP:  woher fährt der
TYPE: S     S     S"
ZG,100.0,24.242424242424242,6.27465531099474,Dort gehörte er zur ursprünglichen Macintosh-Entwicklungsmannschaft., Dort hat er zu der ursprünglichen Macintosh Entwicklungsmannschaft gehört.,3,0,3,"REF:  dort gehörte er ***** zur ursprünglichen *****     *****                  macintoshentwicklungsmannschaft
HYP:  dort hat     er zu    der ursprünglichen macintosh entwicklungsmannschaft gehört
TYPE: C    S       C  I     S   C              I         I                      S"
SO,100.0,56.666666666666664,7.347053125977879,Warum aber sagen wir das dann nicht in unserer Entschließung?," Warum sagen wir denn so etwas nicht, wenn wir uns so etwas entschliessen?",5,1,4,"REF:  warum aber  sagen wir ***** das dann  nicht ***** ***** ***** in unserer entschließung
HYP:  warum ***** sagen wir denn  so  etwas nicht wenn  wir   uns   so etwas   entschliessen
TYPE: C     D     C     C   I     S   S     C     I     I     I     S  S       S"
