dialect,wer,cer,bleu,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
SO,200.0,77.27272727272727,4.368583925857938,Allerdings sind diese Ergebnisse umstritten.," Man muss aber auch sagen, dass die Ergebnisse sehr umstritten sind.",4,0,6,"REF:  ***** ***** ***** ***** allerdings sind diese ergebnisse ***** *****      umstritten.
HYP:  man   muss  aber  auch  sagen,     dass die   ergebnisse sehr  umstritten sind.
TYPE: I     I     I     I     S          S    S     C          I     I          S"
BE,150.0,82.5,6.27465531099474,Er unterschrieb einen Dreijahresvertrag., Er hat drei Jahre lang einen Vertrag unterschrieben.,2,0,4,"REF:  er ***** ***** ***** unterschrieb einen *****   dreijahresvertrag.
HYP:  er hat   drei  jahre lang         einen vertrag unterschrieben.
TYPE: C  I     I     I     S            C     I       S"
BE,138.46153846153845,83.9080459770115,3.9645132534206877,Trencavel seiner Besitzungen für verlustig erklärt und begab sich ins Exil nach Aragon.," Es wurde erklärt, dass das, was Trencabel hörte, er verloren hatte und dann hat er sich in Säxim nach Aragon begeben.",10,0,8,"REF:  ***** ***** *****    ***** ***** trencavel seiner    besitzungen für verlustig erklärt und ***** ***** begab sich ins exil  nach *****  aragon.
HYP:  es    wurde erklärt, dass  das,  was       trencabel hörte,      er  verloren  hatte   und dann  hat   er    sich in  säxim nach aragon begeben.
TYPE: I     I     I        I     I     S         S         S           S   S         S       C   I     I     S     C    S   S     C    I      S"
ZG,133.33333333333331,11.627906976744185,12.44023474812678,"Staats-Obergymnasium unterrichtete, kennen.", Staatsopergymnasium unterrichtet – Kennen,3,0,1,"REF:  *****               staats-obergymnasium unterrichtete, kennen.
HYP:  staatsopergymnasium unterrichtet         –              kennen
TYPE: I                   S                    S              S"
ZH,133.33333333333331,42.857142857142854,14.323145079400492,Landsberg-Velen war promovierter Jurist und Rittergutsbesitzer., Der Landsberg Wählen ist ein promovierter Jurist und ein Rittergutsbesitzer gewesen.,3,0,5,"REF:  ***** *****     *****  landsberg-velen war promovierter jurist und ***** *****              rittergutsbesitzer.
HYP:  der   landsberg wählen ist             ein promovierter jurist und ein   rittergutsbesitzer gewesen.
TYPE: I     I         I      S               S   C            C      C   I     I                  S"
BL,122.22222222222223,49.275362318840585,5.875148471810145,Wie anderswo waren auch hier zunächst nur Männer teilnahmeberechtigt.," Wie auch andere, die hier waren, waren zunächst nur, wenn der Teilnahme berechtigt war.",6,0,5,"REF:  wie anderswo waren   auch hier *****  ***** zunächst ***** ***** ***** nur       männer     teilnahmeberechtigt.
HYP:  wie auch     andere, die  hier waren, waren zunächst nur,  wenn  der   teilnahme berechtigt war.
TYPE: C   S        S       S    C    I      I     C        I     I     I     S         S          S"
BE,110.00000000000001,30.88235294117647,9.672649511413097,"Der Ort ist Sitz des Bistums Ventimiglia-Sanremo, Seebad und Kurort."," Da hat ich Sitz vom Bistum, wenn die Milia san Remo, Seebad und Churort.",7,0,4,"REF:  der ort ist sitz ***** *****   ***** ***** des   bistums ventimiglia-sanremo, seebad und kurort.
HYP:  da  hat ich sitz vom   bistum, wenn  die   milia san     remo,                seebad und churort.
TYPE: S   S   S   C    I     I       I     I     S     S       S                    C      C   S"
BE,109.09090909090908,50.57471264367817,7.575731225158963,"Nina Jäckle verfasste bislang Hörspiele, Theaterstücke, Drehbücher und vor allem Prosa."," Nina Jäckli hat bis jetzt v.a. Hörspiele, Theaterstücke und Rehbücher, aber v.a. Prose angeschrieben.",9,0,3,"REF:  nina *****  ***** jäckle verfasste bislang hörspiele, *****         theaterstücke, drehbücher und  vor  allem prosa.
HYP:  nina jäckli hat   bis    jetzt     v.a.    hörspiele, theaterstücke und            rehbücher, aber v.a. prose angeschrieben.
TYPE: C    I      I     S      S         S       C          I             S              S          S    S    S     S"
ZG,107.14285714285714,77.45098039215686,31.535540524901325,Trotz dieses Wachstums verlor der Ort seine Selbstständigkeit durch die Eingemeindung nach Den Helder., Durch die Eingemeindung nach den Helden hat der Ort trotz des Wachstums seine Selbstständigkeit verloren.,10,2,3,"REF:  ***** ***** *****         trotz dieses wachstums verlor der ort seine selbstständigkeit durch     die   eingemeindung     nach      den   helder.
HYP:  durch die   eingemeindung nach  den    helden    hat    der ort trotz des               wachstums seine selbstständigkeit verloren. ***** *****
TYPE: I     I     I             S     S      S         S      C   C   S     S                 S         S     S                 S         D     D"
BL,100.0,22.727272727272727,19.716118825581447,Späth Orgelbau erbaut., Spätogelbau abbaut.,2,1,0,"REF:  späth       orgelbau erbaut.
HYP:  spätogelbau abbaut.  *****
TYPE: S           S        D"
