dialect,wer,cer,bleu,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
SO,200.0,79.06976744186046,4.456882760699063,Allerdings sind diese Ergebnisse umstritten.,"Man muss aber auch sagen, dass die Ergeibniss sehr umstritten sind.",4,0,6,"REF:  ***** ***** ***** ***** ***** allerdings sind diese      ergebnisse umstritten *****
HYP:  man   muss  aber  auch  sagen dass       die  ergeibniss sehr       umstritten sind
TYPE: I     I     I     I     I     S          S    S          S          C          I"
AG,200.0,50.0,0.0,Lebensjahr vollendet.,Slavens jar ist vollandet.,2,0,2,"REF:  *****   ***** lebensjahr vollendet
HYP:  slavens jar   ist        vollandet
TYPE: I       I     S          S"
BE,150.0,14.285714285714285,0.0,Mal Etappenort.,Mau etappe Ort.,2,0,1,"REF:  ***** mal    etappenort
HYP:  mau   etappe ort
TYPE: I     S      S"
ZG,150.0,31.818181818181817,0.0,Dort gehörte er zur ursprünglichen Macintosh-Entwicklungsmannschaft.,Det hett e zu der ursprüngliche Makintosh Entwicklingsmannschaft khürt.,6,0,3,"REF:  ***** ***** ***** dort gehörte er            zur       ursprünglichen         macintoshentwicklungsmannschaft
HYP:  det   hett  e     zu   der     ursprüngliche makintosh entwicklingsmannschaft khürt
TYPE: I     I     I     S    S       S             S         S                      S"
SO,150.0,68.33333333333333,2.627961710408444,Warum aber sagen wir das dann nicht in unserer Entschließung?,"Worum sagen mir da so bis niht, e wenn mir die Story zo bis entschliesst?",10,0,5,"REF:  ***** ***** ***** ***** ***** warum aber sagen wir  das dann nicht in unserer entschließung
HYP:  worum sagen mir   da    so    bis   niht e     wenn mir die  story zo bis     entschliesst
TYPE: I     I     I     I     I     S     S    S     S    S   S    S     S  S       S"
BE,142.85714285714286,73.21428571428571,0.0,Fortan verdiente er seinen Lebensunterhalt als Busfahrer.,Aub denn hat Arsi Labensonge und Haut aus Bösforder verdient.,7,0,3,"REF:  ***** ***** ***** fortan verdiente  er  seinen lebensunterhalt als       busfahrer
HYP:  aub   denn  hat   arsi   labensonge und haut   aus             bösforder verdient
TYPE: I     I     I     S      S          S   S      S               S         S"
ZH,140.0,85.71428571428571,6.567274736060395,Im Norden liegt die Bandasee.,Der Ban dar sehe isch im Norde.,5,0,2,"REF:  ***** ***** im  norden liegt die bandasee
HYP:  der   ban   dar sehe   isch  im  norde
TYPE: I     I     S   S      S     S   S"
LU,140.0,22.807017543859647,0.0,Auftraggeber befürchten eine sogenannte „Lock-in-Situation“.,Duftragape befürchtet ein sogenannt die Lockin Situation.,5,0,2,"REF:  *****      *****      auftraggeber befürchten eine sogenannte „lockinsituation“
HYP:  duftragape befürchtet ein          sogenannt  die  lockin     situation
TYPE: I          I          S            S          S    S          S"
BE,130.76923076923077,76.74418604651163,4.237713199752784,Trencavel seiner Besitzungen für verlustig erklärt und begab sich ins Exil nach Aragon.,"Es ist erklart wurde, das tas wo Trengavel Kurthet ar verlorehet oder hätt er sich i Sexil nach Aragon begat.",10,0,7,"REF:  ***** ***** *****   ***** ***** ***** trencavel seiner    besitzungen für verlustig  erklärt und  begab sich ins exil  nach aragon *****
HYP:  es    ist   erklart wurde das   tas   wo        trengavel kurthet     ar  verlorehet oder    hätt er    sich i   sexil nach aragon begat
TYPE: I     I     I       I     I     I     S         S         S           S   S          S       S    S     C    S   S     C    C      I"
SG,128.57142857142858,25.333333333333336,0.0,Abgestufte Inanspruchnahme von Betriebsmitteln regelt die Zugriffskontrolle.,Abegstruf di in Anspruchnahm für Betriebsmittel reglet zur Griffskontrolle.,7,0,2,"REF:  *****     ***** abgestufte inanspruchnahme von betriebsmitteln regelt die zugriffskontrolle
HYP:  abegstruf di    in         anspruchnahm    für betriebsmittel  reglet zur griffskontrolle
TYPE: I         I     S          S               S   S               S      S   S"
SO,125.0,59.42028985507246,4.02724819242185,"Zunächst wurden gemietete Geschäftsräume in Berlin-Mitte, Potsdamer Str.",Zust sind Kmeeteti Gshaftsrim in Berlin mitt der Potsdamer Strasse kmeetet wurde.,6,0,4,"REF:  zunächst wurden gemietete geschäftsräume in *****  ***** berlinmitte potsdamer *****   *****   str
HYP:  zust     sind   kmeeteti  gshaftsrim     in berlin mitt  der         potsdamer strasse kmeetet wurde
TYPE: S        S      S         S              C  I      I     S           C         I       I       S"
ZG,125.0,40.0,3.7477767366779213,Von anderen Seiten werden noch niedrigere Wachstumsraten erwartet.,Vor der andere Sitte war der Moti für i Wachstumsrat erwartet.,7,0,3,"REF:  ***** ***** *****  von   anderen seiten werden noch niedrigere wachstumsraten erwartet
HYP:  vor   der   andere sitte war     der    moti   für  i          wachstumsrat   erwartet
TYPE: I     I     I      S     S       S      S      S    S          S              C"
LU,122.22222222222223,49.411764705882355,3.3864985683445354,"Fünf Angreifer wurden von Sicherheitskräften getötet, vier Sturmgewehre sichergestellt.","Fi Fargrifer simvo der Sicherheitskräft tötet wurde, vier Stormquer sind sichergestaut wurde.",8,0,3,"REF:  ***** fünf      angreifer wurden von              sicherheitskräften getötet vier *****     ***** sturmgewehre  sichergestellt
HYP:  fi    fargrifer simvo     der    sicherheitskräft tötet              wurde   vier stormquer sind  sichergestaut wurde
TYPE: I     S         S         S      S                S                  S       C    I         I     S             S"
BE,120.0,46.875,0.0,Linssen wuchs in Wachtendonk auf.,Sissen ish ihr wachten donk ufgache.,5,0,1,"REF:  *****  linssen wuchs in      wachtendonk auf
HYP:  sissen ish     ihr   wachten donk        ufgache
TYPE: I      S       S     S       S           S"
BE,120.0,30.58823529411765,3.3864985683445354,"Das Schicksal führt das heimatlose Ex-Bunny ins Haus der ""Zeta-Alpha-Zeta-""Schwesternschaft.",SSchicksau führt Zeimatlose Ex Buny it Hus vor Seta Alfa Ceta Schlösterschaft.,10,0,2,"REF:  *****      ***** das        schicksal führt das heimatlose exbunny ins  haus der  zetaalphazetaschwesternschaft
HYP:  sschicksau führt zeimatlose ex        buny  it  hus        vor     seta alfa ceta schlösterschaft
TYPE: I          I     S          S         S     S   S          S       S    S    S    S"
ZH,116.66666666666667,34.42622950819672,15.619699684601283,Landsberg-Velen war promovierter Jurist und Rittergutsbesitzer.,De Landsberg Wehlen icen promovierter Jurist und den Ritterguets Psizirxi.,3,0,4,"REF:  ***** *****     landsbergvelen war  promovierter jurist und ***** *****       rittergutsbesitzer
HYP:  de    landsberg wehlen         icen promovierter jurist und den   ritterguets psizirxi
TYPE: I     I         S              S    C            C      C   I     I           S"
BE,114.28571428571428,65.11627906976744,4.990049701936832,Der November wurde dadurch zum elften Monat.,De Das ist nof ember zum Elf te Monat worde.,5,0,3,"REF:  ***** der november wurde dadurch zum ***** elften monat *****
HYP:  de    das ist      nof   ember   zum elf   te     monat worde
TYPE: I     S   S        S     S       C   I     S      C     I"
ZG,114.28571428571428,53.57142857142857,4.767707020457095,Orson Welles verbrachte seine Flitterwochen im Algonquin.,Der Orson Wells hat sienie Flitterwoche in Algonqueen verbracht.,6,0,2,"REF:  ***** orson ***** welles verbrachte seine        flitterwochen im         algonquin
HYP:  der   orson wells hat    sienie     flitterwoche in            algonqueen verbracht
TYPE: I     C     I     S      S          S            S             S          S"
SG,112.5,46.42857142857143,0.0,Die heute U-förmige Anlage entstand in mehreren Bauphasen.,Diehyt U Förmig Aalag is i mehrere Bauphase entstande.,8,0,1,"REF:  *****  die heute  uförmige anlage entstand in      mehreren bauphasen
HYP:  diehyt u   förmig aalag    is     i        mehrere bauphase entstande
TYPE: I      S   S      S        S      S        S       S        S"
BE,111.11111111111111,69.35483870967742,4.196114906296549,Nebenbei verdiente er sich mit seinem Gitarrenspiel etwas dazu.,Nababi hat Arstach mit zim Gitarishpua bis ter Zur verdinet.,9,0,1,"REF:  *****  nebenbei verdiente er  sich mit         seinem gitarrenspiel etwas dazu
HYP:  nababi hat      arstach   mit zim  gitarishpua bis    ter           zur   verdinet
TYPE: I      S        S         S   S    S           S      S             S     S"
