dialect,wer,cer,bleu,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
SO,160.0,74.4186046511628,8.913765521398126,Allerdings sind diese Ergebnisse umstritten.,"Man muss aber auch sagen, dass diese Ergebnisse sehr umstritten sind.",2,0,6,"REF:  ***** ***** ***** ***** allerdings sind diese ergebnisse ***** umstritten *****
HYP:  man   muss  aber  auch  sagen      dass diese ergebnisse sehr  umstritten sind
TYPE: I     I     I     I     S          S    C     C          I     C          I"
BE,115.38461538461537,70.93023255813954,5.237520761048587,Trencavel seiner Besitzungen für verlustig erklärt und begab sich ins Exil nach Aragon.,"Es wurde erklärt, dass das, was Trencavel gehörte, er verloren hatte, und dann begab er sich in Sexiv nach Aragon.",8,0,7,"REF:  ***** ***** *****   ***** ***** ***** trencavel seiner  besitzungen für      verlustig erklärt und  begab ***** sich ins exil  nach aragon
HYP:  es    wurde erklärt dass  das   was   trencavel gehörte er          verloren hatte     und     dann begab er    sich in  sexiv nach aragon
TYPE: I     I     I       I     I     I     C         S       S           S        S         S       S    C     I     C    S   S     C    C"
ZH,100.0,71.42857142857143,23.643540225079384,Im Norden liegt die Bandasee.,Der Bandasee ist im Norden.,5,0,0,"REF:  im  norden   liegt die bandasee
HYP:  der bandasee ist   im  norden
TYPE: S   S        S     S   S"
ZG,100.0,79.20792079207921,50.480055043434,Trotz dieses Wachstums verlor der Ort seine Selbstständigkeit durch die Eingemeindung nach Den Helder.,Durch die Eingemeindung nach Den Helder verlor der Ort trotz des Wachstums seine Selbstständigkeit.,8,3,3,"REF:  ***** ***** *****         trotz dieses wachstums verlor der ort seine selbstständigkeit durch     die   eingemeindung     nach  den   helder
HYP:  durch die   eingemeindung nach  den    helder    verlor der ort trotz des               wachstums seine selbstständigkeit ***** ***** *****
TYPE: I     I     I             S     S      S         C      C   C   S     S                 S         S     S                 D     D     D"
AG,100.0,40.0,18.99589214128981,Lebensjahr vollendet.,Das Lebensjahr ist vollendet.,0,0,2,"REF:  ***** lebensjahr ***** vollendet
HYP:  das   lebensjahr ist   vollendet
TYPE: I     C          I     C"
BE,100.0,65.45454545454545,11.339582221952005,Der Rat hat die Reden Muammar Gadaffis nicht besprochen.,Die Rede von Numar Gaddafi besprach der Rat nicht.,7,1,1,"REF:  ***** der  rat hat   die     reden    muammar gadaffis nicht besprochen
HYP:  die   rede von numar gaddafi besprach der     rat      nicht *****
TYPE: I     S    S   S     S       S        S       S        C     D"
TG,87.5,37.254901960784316,24.446151121745064,Ich bin noch mit drei weiteren Dingen einverstanden.,Mit nur drei weiteren Dingen bin ich verstanden.,3,2,2,"REF:  ich bin noch  mit   drei weiteren dingen ***** ***** einverstanden
HYP:  mit nur ***** ***** drei weiteren dingen bin   ich   verstanden
TYPE: S   S   D     D     C    C        C      I     I     S"
ZH,87.5,48.148148148148145,15.851165692617148,Dadurch verformt sich das zu bearbeitende Blech zurück.,"Durch das verformt sich das Blech, das man bearbeiten muss, zurück.",4,0,3,"REF:  ***** dadurch verformt sich das ***** ***** zu  bearbeitende blech zurück
HYP:  durch das     verformt sich das blech das   man bearbeiten   muss  zurück
TYPE: I     S       C        C    C   I     I     S   S            S     C"
BE,85.71428571428571,74.4186046511628,22.31618068926665,Der November wurde dadurch zum elften Monat.,Dieser das ist der November zum elften Monat geworden.,0,2,4,"REF:  *****  ***** ***** der november wurde dadurch zum elften monat *****
HYP:  dieser das   ist   der november ***** *****   zum elften monat geworden
TYPE: I      I     I     C   C        D     D       C   C      C     I"
UR,83.33333333333334,47.22222222222222,21.444097124017667,In diesem Moment verunglückt der Zug.,Der Zug verunglückt derzeit.,3,2,0,"REF:  in  diesem moment verunglückt der     zug
HYP:  der zug    *****  verunglückt derzeit *****
TYPE: S   S      D      C           S       D"
