dialect,wer,cer,bleu,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
SO,160.0,74.4186046511628,8.913765521398126,Allerdings sind diese Ergebnisse umstritten.,"Man muss aber auch sagen, dass diese Ergebnisse sehr umstritten sind.",2,0,6,"REF:  ***** ***** ***** ***** allerdings sind diese ergebnisse ***** umstritten *****
HYP:  man   muss  aber  auch  sagen      dass diese ergebnisse sehr  umstritten sind
TYPE: I     I     I     I     S          S    C     C          I     C          I"
BE,130.76923076923077,76.74418604651163,4.567211833282236,Trencavel seiner Besitzungen für verlustig erklärt und begab sich ins Exil nach Aragon.,"Es wurde erklärt, dass das, was André Gabel hörte, er verloren hatte, und er beging sich dann in Säxim nach Aragon.",9,0,8,"REF:  ***** ***** *****   ***** ***** ***** trencavel seiner besitzungen für verlustig erklärt und ***** begab  sich ***** ins exil  nach aragon
HYP:  es    wurde erklärt dass  das   was   andré     gabel  hörte       er  verloren  hatte   und er    beging sich dann  in  säxim nach aragon
TYPE: I     I     I       I     I     I     S         S      S           S   S         S       C   I     S      C    I     S   S     C    C"
BE,109.09090909090908,55.952380952380956,6.722636787666482,"Nina Jäckle verfasste bislang Hörspiele, Theaterstücke, Drehbücher und vor allem Prosa.","Nina Jäckle hat den Besitz vor allem im Hörspiel, Theaterstück und Dreibücher, aber vor allem im Prosa geschrieben.",5,0,7,"REF:  nina jäckle ***** ***** *****  verfasste bislang hörspiele theaterstücke drehbücher   und *****      ***** vor allem ***** prosa *****
HYP:  nina jäckle hat   den   besitz vor       allem   im        hörspiel      theaterstück und dreibücher aber  vor allem im    prosa geschrieben
TYPE: C    C      I     I     I      S         S       S         S             S            C   I          I     C   C     I     C     I"
UR,100.0,57.14285714285714,15.97357760615681,Tötet nicht den Boten.,Sie würden nicht erboten.,2,1,1,"REF:  ***** tötet  nicht den     boten
HYP:  sie   würden nicht erboten *****
TYPE: I     S      C     S       D"
ZH,100.0,71.42857142857143,23.643540225079384,Im Norden liegt die Bandasee.,Der Bandasee ist im Norden.,5,0,0,"REF:  im  norden   liegt die bandasee
HYP:  der bandasee ist   im  norden
TYPE: S   S        S     S   S"
ZG,100.0,79.20792079207921,50.480055043434,Trotz dieses Wachstums verlor der Ort seine Selbstständigkeit durch die Eingemeindung nach Den Helder.,Durch die Eingemeindung nach Den Helder verlor der Ort trotz des Wachstums seine Selbstständigkeit.,8,3,3,"REF:  ***** ***** *****         trotz dieses wachstums verlor der ort seine selbstständigkeit durch     die   eingemeindung     nach  den   helder
HYP:  durch die   eingemeindung nach  den    helder    verlor der ort trotz des               wachstums seine selbstständigkeit ***** ***** *****
TYPE: I     I     I             S     S      S         C      C   C   S     S                 S         S     S                 D     D     D"
BE,100.0,76.92307692307693,9.652434877402245,Er unterschrieb einen Dreijahresvertrag.,Er hatte einen Dreijährigen Vertrag unterschrieben.,2,0,2,"REF:  er unterschrieb einen *****        *****   dreijahresvertrag
HYP:  er hatte        einen dreijährigen vertrag unterschrieben
TYPE: C  S            C     I            I       S"
AG,100.0,40.0,18.99589214128981,Lebensjahr vollendet.,Das Lebensjahr ist vollendet.,0,0,2,"REF:  ***** lebensjahr ***** vollendet
HYP:  das   lebensjahr ist   vollendet
TYPE: I     C          I     C"
BE,100.0,60.0,11.99014838091355,Der Rat hat die Reden Muammar Gadaffis nicht besprochen.,Die Rede von Muammar Gaddafi besprach der Rat nicht.,7,1,1,"REF:  ***** der  rat hat     die     reden    muammar gadaffis nicht besprochen
HYP:  die   rede von muammar gaddafi besprach der     rat      nicht *****
TYPE: I     S    S   S       S       S        S       S        C     D"
ZH,87.5,48.148148148148145,15.851165692617148,Dadurch verformt sich das zu bearbeitende Blech zurück.,"Durch das verformt sich das Blech, das man bearbeiten muss, zurück.",4,0,3,"REF:  ***** dadurch verformt sich das ***** ***** zu  bearbeitende blech zurück
HYP:  durch das     verformt sich das blech das   man bearbeiten   muss  zurück
TYPE: I     S       C        C    C   I     I     S   S            S     C"
BL,83.33333333333334,51.35135135135135,34.57207846419409,Die Bemühungen in dieser Sache laufen.,Bemühungen in dieser Sache sind an der Reise.,1,1,3,"REF:  die   bemühungen in dieser sache ***** ***** ***** laufen
HYP:  ***** bemühungen in dieser sache sind  an    der   reise
TYPE: D     C          C  C      C     I     I     I     S"
BE,80.0,26.153846153846157,27.824623288353134,"Der Ort ist Sitz des Bistums Ventimiglia-Sanremo, Seebad und Kurort.",Den Ort ist Sitz des Bistums wenn die Emilia Sanremo Seenbad und Chor ruht.,4,0,4,"REF:  der ort ist sitz des bistums ***** ***** *****  ventimigliasanremo seebad  und ***** kurort
HYP:  den ort ist sitz des bistums wenn  die   emilia sanremo            seenbad und chor  ruht
TYPE: S   C   C   C    C   C       I     I     I      S                  S       C   I     S"
BE,80.0,45.83333333333333,12.44023474812678,Es liegt im flachen Land.,Zurück dein flaches Land.,3,1,0,"REF:  es     liegt im      flachen land
HYP:  zurück dein  flaches *****   land
TYPE: S      S     S       D       C"
