dialect,wer,cer,bleu,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
SO,180.0,79.06976744186046,4.9323515694897075,Allerdings sind diese Ergebnisse umstritten.," Man muss aber auch sagen, dass die Ergebnisse sehr umstritten sind.",3,0,6,"REF:  ***** ***** ***** ***** allerdings sind diese ergebnisse ***** umstritten *****
HYP:  man   muss  aber  auch  sagen      dass die   ergebnisse sehr  umstritten sind
TYPE: I     I     I     I     S          S    S     C          I     C          I"
BE,138.46153846153845,84.88372093023256,4.34373789135831,Trencavel seiner Besitzungen für verlustig erklärt und begab sich ins Exil nach Aragon.," Es wurde erklärt, dass das, was Rengabel gehört hat, er verloren hat und dann hat er sich in 6.7 nach Aragon begeben.",9,0,9,"REF:  ***** ***** *****   ***** ***** ***** trencavel seiner besitzungen für verlustig erklärt und ***** ***** begab sich ins exil nach aragon *****
HYP:  es    wurde erklärt dass  das   was   rengabel  gehört hat         er  verloren  hat     und dann  hat   er    sich in  67   nach aragon begeben
TYPE: I     I     I       I     I     I     S         S      S           S   S         S       C   I     I     S     C    S   S    C    C      I"
UR,133.33333333333331,33.33333333333333,0.0,Wohin führt dieser?, Wo hi fährt der?,3,0,1,"REF:  ***** wohin führt dieser
HYP:  wo    hi    fährt der
TYPE: I     S     S     S"
ZG,107.14285714285714,77.22772277227723,32.37722713145643,Trotz dieses Wachstums verlor der Ort seine Selbstständigkeit durch die Eingemeindung nach Den Helder., Durch die Eingemeindung nach den Heldern hat der Ort trotz dem Wachstum seine Selbstständigkeit verloren.,10,2,3,"REF:  ***** ***** *****         trotz dieses wachstums verlor der ort seine selbstständigkeit durch    die   eingemeindung     nach     den   helder
HYP:  durch die   eingemeindung nach  den    heldern   hat    der ort trotz dem               wachstum seine selbstständigkeit verloren ***** *****
TYPE: I     I     I             S     S      S         S      C   C   S     S                 S        S     S                 S        D     D"
BE,100.0,68.75,8.116697886877475,Linssen wuchs in Wachtendonk auf., Die Lissin ist in Wartendonk aufgewachsen.,4,0,1,"REF:  ***** linssen wuchs in wachtendonk auf
HYP:  die   lissin  ist   in wartendonk  aufgewachsen
TYPE: I     S       S     C  S           S"
UR,100.0,57.14285714285714,10.682175159905848,Tötet nicht den Boten., Du hättest nicht da bulte.,3,0,1,"REF:  ***** tötet   nicht den boten
HYP:  du    hättest nicht da  bulte
TYPE: I     S       C     S   S"
BE,100.0,26.153846153846157,4.02724819242185,"Der Ort ist Sitz des Bistums Ventimiglia-Sanremo, Seebad und Kurort."," Da hat ich Sitz vom Bistum Ventimilia San Remo, Sebaat und Kuroort.",8,0,2,"REF:  der ort ist sitz ***** *****  des        bistums ventimigliasanremo seebad und kurort
HYP:  da  hat ich sitz vom   bistum ventimilia san     remo               sebaat und kuroort
TYPE: S   S   S   C    I     I      S          S       S                  S      C   S"
BL,100.0,66.66666666666666,0.0,Späth Orgelbau erbaut., Spread all about.,3,0,0,"REF:  späth  orgelbau erbaut
HYP:  spread all      about
TYPE: S      S        S"
AG,100.0,68.57142857142857,8.116697886877475,Isotope waren damals noch unbekannt., Isotoppe sind schon damals bekannt gewesen.,4,0,1,"REF:  *****    isotope waren damals noch    unbekannt
HYP:  isotoppe sind    schon damals bekannt gewesen
TYPE: I        S       S     C      S       S"
ZH,100.0,71.42857142857143,23.643540225079384,Im Norden liegt die Bandasee., Der Bandasee ist im Norden.,5,0,0,"REF:  im  norden   liegt die bandasee
HYP:  der bandasee ist   im  norden
TYPE: S   S        S     S   S"
SG,100.0,59.036144578313255,19.104081613647544,"Dies war nicht der Fall für die Kontrollgruppen, die keine Fehlinformation erhielten."," Das war für diese Kontrollgruppen, die keine Fehlinformationen bekommen haben, nicht der Fall war.",4,3,5,"REF:  dies war nicht der   fall  für die   kontrollgruppen die keine *****             *****    ***** ***** ***** fehlinformation erhielten
HYP:  das  war ***** ***** ***** für diese kontrollgruppen die keine fehlinformationen bekommen haben nicht der   fall            war
TYPE: S    C   D     D     D     C   S     C               C   C     I                 I        I     I     I     S               S"
SZ,100.0,55.00000000000001,10.682175159905848,Aber woran liegt das?, A prvo roll ist das.,3,0,1,"REF:  ***** aber woran liegt das
HYP:  a     prvo roll  ist   das
TYPE: I     S    S     S     C"
BE,100.0,35.714285714285715,12.22307556087252,Zu Bioley-Magnoux gehören einige Einzelhöfe., Zu Biore Manu gehören einige ihnen zu helfen.,2,0,3,"REF:  zu ***** bioleymagnoux gehören einige ***** ***** einzelhöfe
HYP:  zu biore manu          gehören einige ihnen zu    helfen
TYPE: C  I     S             C       C      I     I     S"
LU,100.0,64.51612903225806,0.0,Heute reicht das nicht mehr aus., Hut Langetasnummer,2,4,0,"REF:  heute reicht         das   nicht mehr  aus
HYP:  hut   langetasnummer ***** ***** ***** *****
TYPE: S     S              D     D     D     D"
SG,100.0,44.0,14.991106946711685,Aber auch auf diesem herrschten unsaubere Zustände., Aber auch auf dem haben wir uns aber die Zustände erst.,3,0,4,"REF:  aber auch auf ***** ***** ***** diesem herrschten unsaubere zustände *****
HYP:  aber auch auf dem   haben wir   uns    aber       die       zustände erst
TYPE: C    C    C   I     I     I     S      S          S         C        I"
AG,100.0,40.0,18.99589214128981,Lebensjahr vollendet., Das Lebensjahr ist vollendet.,0,0,2,"REF:  ***** lebensjahr ***** vollendet
HYP:  das   lebensjahr ist   vollendet
TYPE: I     C          I     C"
BE,100.0,55.35714285714286,5.669791110976001,Fortan verdiente er seinen Lebensunterhalt als Busfahrer., Ab dann hat er die Lebenshungerhaut als Bössfahrer verdient.,5,0,2,"REF:  ***** fortan verdiente er seinen lebensunterhalt  als *****      busfahrer
HYP:  ab    dann   hat       er die    lebenshungerhaut als bössfahrer verdient
TYPE: I     S      S         C  S      S                C   I          S"
UR,91.66666666666666,22.54901960784314,3.673526562988939,Dieser geringere Zusammenhang gegenüber eineiigen Zwillingen deutet auf einen genetischen Einfluss hin., Die geringe Zusammenhänge gegen über die Zwillinge teilt auf eine genetische Einfluss ein.,10,0,1,"REF:  ***** dieser  geringere     zusammenhang gegenüber eineiigen zwillingen deutet auf einen genetischen einfluss hin
HYP:  die   geringe zusammenhänge gegen        über      die       zwillinge  teilt  auf eine  genetische  einfluss ein
TYPE: I     S       S             S            S         S         S          S      C   S     S           C        S"
BE,90.9090909090909,71.71717171717171,43.66835442847811,"Außerdem studierte er an der Wiener Universität Philosophie, Kunstgeschichte und Literaturgeschichte."," Ausserdem hat er Philosophie, Kunstgeschichte und Literaturgeschichte an der Wiener Universität studiert.",3,3,4,"REF:  außerdem  studierte er *****       *****           ***** *****               an der wiener universität philosophie kunstgeschichte und   literaturgeschichte
HYP:  ausserdem hat       er philosophie kunstgeschichte und   literaturgeschichte an der wiener universität studiert    *****           ***** *****
TYPE: S         S         C  I           I               I     I                   C  C   C      C           S           D               D     D"
