dialect,wer,cer,bleu,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
SO,160.0,74.4186046511628,8.913765521398126,Allerdings sind diese Ergebnisse umstritten.,"Man muss aber auch sagen, dass diese Ergebnisse sehr umstritten sind.",2,0,6,"REF:  ***** ***** ***** ***** allerdings sind diese ergebnisse ***** umstritten *****
HYP:  man   muss  aber  auch  sagen      dass diese ergebnisse sehr  umstritten sind
TYPE: I     I     I     I     S          S    C     C          I     C          I"
BE,123.07692307692308,79.06976744186046,4.814971807094068,Trencavel seiner Besitzungen für verlustig erklärt und begab sich ins Exil nach Aragon.,"Es wurde erklärt, dass das, was Tremcawell gehörte, er verloren habe, und dass er sich in Sexil nach Aragon begebe.",9,0,7,"REF:  ***** ***** *****   ***** ***** trencavel seiner     besitzungen für verlustig erklärt und ***** begab sich ins exil  nach aragon *****
HYP:  es    wurde erklärt dass  das   was       tremcawell gehörte     er  verloren  habe    und dass  er    sich in  sexil nach aragon begebe
TYPE: I     I     I       I     I     S         S          S           S   S         S       C   I     S     C    S   S     C    C      I"
BE,100.0,50.0,7.655122720591221,"Nina Jäckle verfasste bislang Hörspiele, Theaterstücke, Drehbücher und vor allem Prosa.","Nina Jäckle hat die Besitze vor allem Hörspiel-, Theaterstücken und Drehbücher, aber vor allem Pros angeschrieben.",6,0,5,"REF:  nina jäckle ***** ***** *****   ***** verfasste bislang  hörspiele      theaterstücke drehbücher und  vor allem ***** prosa
HYP:  nina jäckle hat   die   besitze vor   allem     hörspiel theaterstücken und           drehbücher aber vor allem pros  angeschrieben
TYPE: C    C      I     I     I       I     S         S        S              S             C          S    C   C     I     S"
ZG,100.0,79.20792079207921,50.480055043434,Trotz dieses Wachstums verlor der Ort seine Selbstständigkeit durch die Eingemeindung nach Den Helder.,Durch die Eingemeindung nach Den Helder verlor der Ort trotz des Wachstums seine Selbstständigkeit.,8,3,3,"REF:  ***** ***** *****         trotz dieses wachstums verlor der ort seine selbstständigkeit durch     die   eingemeindung     nach  den   helder
HYP:  durch die   eingemeindung nach  den    helder    verlor der ort trotz des               wachstums seine selbstständigkeit ***** ***** *****
TYPE: I     I     I             S     S      S         C      C   C   S     S                 S         S     S                 D     D     D"
AG,100.0,40.0,18.99589214128981,Lebensjahr vollendet.,Das Lebensjahr ist vollendet.,0,0,2,"REF:  ***** lebensjahr ***** vollendet
HYP:  das   lebensjahr ist   vollendet
TYPE: I     C          I     C"
BE,100.0,60.0,11.99014838091355,Der Rat hat die Reden Muammar Gadaffis nicht besprochen.,Die Rede von Muammar Gaddafi besprach der Rat nicht.,7,1,1,"REF:  ***** der  rat hat     die     reden    muammar gadaffis nicht besprochen
HYP:  die   rede von muammar gaddafi besprach der     rat      nicht *****
TYPE: I     S    S   S       S       S        S       S        C     D"
ZH,87.5,48.148148148148145,15.851165692617148,Dadurch verformt sich das zu bearbeitende Blech zurück.,"Durch das verformt sich das Blech, das bearbeitet werden muss, zurück.",4,0,3,"REF:  ***** dadurch verformt sich das ***** ***** zu         bearbeitende blech zurück
HYP:  durch das     verformt sich das blech das   bearbeitet werden       muss  zurück
TYPE: I     S       C        C    C   I     I     S          S            S     C"
BE,87.5,41.17647058823529,23.462350320528007,Alle Daten und Fakten siehe unter Weinbaugebiet Ahr.,Für alle Daten und Fakten schaut man um ein Maibaugebiet an.,4,0,3,"REF:  ***** alle daten und fakten *****  ***** siehe unter weinbaugebiet ahr
HYP:  für   alle daten und fakten schaut man   um    ein   maibaugebiet  an
TYPE: I     C    C     C   C      I      I     S     S     S             S"
SG,85.71428571428571,16.0,12.22307556087252,Abgestufte Inanspruchnahme von Betriebsmitteln regelt die Zugriffskontrolle.,"Eben gestrauchte, in Anspruchnahme von Betriebsmitteln regelte Zugriffskontrolle.",3,1,2,"REF:  ***** *****       abgestufte inanspruchnahme von betriebsmitteln regelt  die   zugriffskontrolle
HYP:  eben  gestrauchte in         anspruchnahme   von betriebsmitteln regelte ***** zugriffskontrolle
TYPE: I     I           S          S               C   C               S       D     C"
ZH,80.0,60.71428571428571,25.40663740773074,Im Norden liegt die Bandasee.,Der Bandasee liegt im Norden.,4,0,0,"REF:  im  norden   liegt die bandasee
HYP:  der bandasee liegt im  norden
TYPE: S   S        C     S   S"
SO,80.0,45.0,8.913765521398126,Warum aber sagen wir das dann nicht in unserer Entschließung?,"Warum sagen wir so etwas nicht, wenn wir uns hierzu entschließen?",5,1,2,"REF:  warum aber  sagen wir das dann  nicht ***** ***** in  unserer entschließung
HYP:  warum ***** sagen wir so  etwas nicht wenn  wir   uns hierzu  entschließen
TYPE: C     D     C     C   S   S     C     I     I     S   S       S"
