dialect,wer,cer,bleu,reference,hypothesis,substitutions,deletions,insertions,alignment_viz
SO,200.0,77.27272727272727,4.368583925857938,Allerdings sind diese Ergebnisse umstritten.," Man muss aber auch sagen, dass die Ergebnisse sehr umstritten sind.",4,0,6,"REF:  ***** ***** ***** ***** allerdings sind diese ergebnisse ***** *****      umstritten.
HYP:  man   muss  aber  auch  sagen,     dass die   ergebnisse sehr  umstritten sind.
TYPE: I     I     I     I     S          S    S     C          I     I          S"
BE,146.15384615384613,87.35632183908046,3.802351022611669,Trencavel seiner Besitzungen für verlustig erklärt und begab sich ins Exil nach Aragon.," Es wurde erklärt, dass das, was Rengabel gehört hat, er verloren hat und dann hat er sich in 6.7 nach Aragon begeben.",10,0,9,"REF:  ***** ***** *****    ***** ***** ***** trencavel seiner besitzungen für verlustig erklärt und ***** ***** begab sich ins exil nach *****  aragon.
HYP:  es    wurde erklärt, dass  das,  was   rengabel  gehört hat,        er  verloren  hat     und dann  hat   er    sich in  6.7  nach aragon begeben.
TYPE: I     I     I        I     I     I     S         S      S           S   S         S       C   I     I     S     C    S   S    C    I      S"
UR,133.33333333333331,31.57894736842105,10.682175159905853,Wohin führt dieser?, Wo hi fährt der?,3,0,1,"REF:  ***** wohin führt dieser?
HYP:  wo    hi    fährt der?
TYPE: I     S     S     S"
SZ,125.0,57.14285714285714,8.116697886877475,Aber woran liegt das?, A prvo roll ist das.,4,0,1,"REF:  ***** aber woran liegt das?
HYP:  a     prvo roll  ist   das.
TYPE: I     S    S     S     S"
SG,114.28571428571428,43.13725490196079,14.323145079400492,Aber auch auf diesem herrschten unsaubere Zustände., Aber auch auf dem haben wir uns aber die Zustände erst.,4,0,4,"REF:  aber auch auf ***** ***** ***** ***** diesem herrschten unsaubere zustände.
HYP:  aber auch auf dem   haben wir   uns   aber   die        zustände  erst.
TYPE: C    C    C   I     I     I     I     S      S          S         S"
ZG,107.14285714285714,76.47058823529412,30.856960108358766,Trotz dieses Wachstums verlor der Ort seine Selbstständigkeit durch die Eingemeindung nach Den Helder., Durch die Eingemeindung nach den Heldern hat der Ort trotz dem Wachstum seine Selbstständigkeit verloren.,10,2,3,"REF:  ***** ***** *****         trotz dieses wachstums verlor der ort seine selbstständigkeit durch    die   eingemeindung     nach      den   helder.
HYP:  durch die   eingemeindung nach  den    heldern   hat    der ort trotz dem               wachstum seine selbstständigkeit verloren. ***** *****
TYPE: I     I     I             S     S      S         S      C   C   S     S                 S        S     S                 S         D     D"
BE,100.0,66.66666666666666,7.809849842300641,Linssen wuchs in Wachtendonk auf., Die Lissin ist in Wartendonk aufgewachsen.,4,0,1,"REF:  ***** linssen wuchs in wachtendonk auf.
HYP:  die   lissin  ist   in wartendonk  aufgewachsen.
TYPE: I     S       S     C  S           S"
UR,100.0,54.54545454545454,9.652434877402245,Tötet nicht den Boten., Du hättest nicht da bulte.,3,0,1,"REF:  ***** tötet   nicht den boten.
HYP:  du    hättest nicht da  bulte.
TYPE: I     S       C     S   S"
BE,100.0,22.058823529411764,4.016138436407654,"Der Ort ist Sitz des Bistums Ventimiglia-Sanremo, Seebad und Kurort."," Da hat ich Sitz vom Bistum Ventimilia San Remo, Selbad und Kuroort.",8,0,2,"REF:  der ort ist sitz ***** *****  des        bistums ventimiglia-sanremo, seebad und kurort.
HYP:  da  hat ich sitz vom   bistum ventimilia san     remo,                selbad und kuroort.
TYPE: S   S   S   C    I     I      S          S       S                    S      C   S"
BL,100.0,63.63636363636363,15.97357760615681,Späth Orgelbau erbaut., Spread all about.,3,0,0,"REF:  späth  orgelbau erbaut.
HYP:  spread all      about.
TYPE: S      S        S"
AG,100.0,66.66666666666666,7.809849842300641,Isotope waren damals noch unbekannt., Isotoppe sind schon damals bekannt gewesen.,4,0,1,"REF:  *****    isotope waren damals noch    unbekannt.
HYP:  isotoppe sind    schon damals bekannt gewesen.
TYPE: I        S       S     C      S       S"
ZH,100.0,68.96551724137932,19.304869754804482,Im Norden liegt die Bandasee., Der Bandasee ist im Norden.,5,0,0,"REF:  im  norden   liegt die bandasee.
HYP:  der bandasee ist   im  norden.
TYPE: S   S        S     S   S"
SG,100.0,58.82352941176471,22.637359354764463,"Dies war nicht der Fall für die Kontrollgruppen, die keine Fehlinformation erhielten."," Das war für diese Kontrollgruppen, die keine Fehlinformationen bekommen haben, nicht der Fall war.",4,3,5,"REF:  dies war nicht der   fall  für die   kontrollgruppen, die keine *****             *****    *****  ***** ***** fehlinformation erhielten.
HYP:  das  war ***** ***** ***** für diese kontrollgruppen, die keine fehlinformationen bekommen haben, nicht der   fall            war.
TYPE: S    C   D     D     D     C   S     C                C   C     I                 I        I      I     I     S               S"
